date,strategy,nav
2023-02-24,Bandit Meta-Strategy (UCB),3.1525869207967077
2023-02-27,Bandit Meta-Strategy (UCB),3.1555536576338836
2023-02-28,Bandit Meta-Strategy (UCB),3.146550995357395
2023-03-01,Bandit Meta-Strategy (UCB),3.125373121266047
2023-03-02,Bandit Meta-Strategy (UCB),3.13040344196644
2023-03-03,Bandit Meta-Strategy (UCB),3.18093252988935
2023-03-06,Bandit Meta-Strategy (UCB),3.1871567776581373
2023-03-07,Bandit Meta-Strategy (UCB),3.1410446963557277
2023-03-08,Bandit Meta-Strategy (UCB),3.123499869540135
2023-03-09,Bandit Meta-Strategy (UCB),3.0722418356343217
2023-03-10,Bandit Meta-Strategy (UCB),3.0539357814594097
2023-03-13,Bandit Meta-Strategy (UCB),3.065610971442638
2023-03-14,Bandit Meta-Strategy (UCB),3.1145062006572135
2023-03-15,Bandit Meta-Strategy (UCB),3.111292613664427
2023-03-16,Bandit Meta-Strategy (UCB),3.140233266192612
2023-03-17,Bandit Meta-Strategy (UCB),3.1131228845037566
2023-03-20,Bandit Meta-Strategy (UCB),3.1475409550418205
2023-03-21,Bandit Meta-Strategy (UCB),3.200556628605382
2023-03-22,Bandit Meta-Strategy (UCB),3.1505228451160763
2023-03-23,Bandit Meta-Strategy (UCB),3.167737241617037
2023-03-24,Bandit Meta-Strategy (UCB),3.1835177380640536
2023-03-27,Bandit Meta-Strategy (UCB),3.193850890310629
2023-03-28,Bandit Meta-Strategy (UCB),3.1816143656757965
2023-03-29,Bandit Meta-Strategy (UCB),3.222792986942724
2023-03-30,Bandit Meta-Strategy (UCB),3.240515883680323
2023-03-31,Bandit Meta-Strategy (UCB),3.2882972092965916
2023-04-03,Bandit Meta-Strategy (UCB),3.320886300676335
2023-04-04,Bandit Meta-Strategy (UCB),3.3135780014251823
2023-04-05,Bandit Meta-Strategy (UCB),3.3359566319988803
2023-04-06,Bandit Meta-Strategy (UCB),3.34398959375241
2023-04-10,Bandit Meta-Strategy (UCB),3.333093016533281
2023-04-11,Bandit Meta-Strategy (UCB),3.3301704285380156
2023-04-12,Bandit Meta-Strategy (UCB),3.3077641550902435
2023-04-13,Bandit Meta-Strategy (UCB),3.3551635680517107
2023-04-14,Bandit Meta-Strategy (UCB),3.3542055381974745
2023-04-17,Bandit Meta-Strategy (UCB),3.346829800928811
2023-04-18,Bandit Meta-Strategy (UCB),3.335244303148976
2023-04-19,Bandit Meta-Strategy (UCB),3.3292931467138613
2023-04-20,Bandit Meta-Strategy (UCB),3.305824744641707
2023-04-21,Bandit Meta-Strategy (UCB),3.3280279085123405
2023-04-24,Bandit Meta-Strategy (UCB),3.3369927400439496
2023-04-25,Bandit Meta-Strategy (UCB),3.299398669897903
2023-04-26,Bandit Meta-Strategy (UCB),3.275089424246525
2023-04-27,Bandit Meta-Strategy (UCB),3.348695776523127
2023-04-28,Bandit Meta-Strategy (UCB),3.3622441003663277
2023-05-01,Bandit Meta-Strategy (UCB),3.3442194443596924
2023-05-02,Bandit Meta-Strategy (UCB),3.311704719342037
2023-05-03,Bandit Meta-Strategy (UCB),3.2847694434473786
2023-05-04,Bandit Meta-Strategy (UCB),3.263885683887132
2023-05-05,Bandit Meta-Strategy (UCB),3.3074248260429577
2023-05-08,Bandit Meta-Strategy (UCB),3.321012521597497
2023-05-09,Bandit Meta-Strategy (UCB),3.3089530086293157
2023-05-10,Bandit Meta-Strategy (UCB),3.3180594829528802
2023-05-11,Bandit Meta-Strategy (UCB),3.322279110909357
2023-05-12,Bandit Meta-Strategy (UCB),3.312070925682948
2023-05-15,Bandit Meta-Strategy (UCB),3.305058866173831
2023-05-16,Bandit Meta-Strategy (UCB),3.2916643281961266
2023-05-17,Bandit Meta-Strategy (UCB),3.3234087811654587
2023-05-18,Bandit Meta-Strategy (UCB),3.3521673518706216
2023-05-19,Bandit Meta-Strategy (UCB),3.3492627753927877
2023-05-22,Bandit Meta-Strategy (UCB),3.3536449577282825
2023-05-23,Bandit Meta-Strategy (UCB),3.347214745892964
2023-05-24,Bandit Meta-Strategy (UCB),3.3373154373292215
2023-05-25,Bandit Meta-Strategy (UCB),3.326208992371532
2023-05-26,Bandit Meta-Strategy (UCB),3.361598341170341
2023-05-30,Bandit Meta-Strategy (UCB),3.3607411797770275
2023-05-31,Bandit Meta-Strategy (UCB),3.3596617793766184
2023-06-01,Bandit Meta-Strategy (UCB),3.390778037932606
2023-06-02,Bandit Meta-Strategy (UCB),3.4412479618121505
2023-06-05,Bandit Meta-Strategy (UCB),3.4482452261172742
2023-06-06,Bandit Meta-Strategy (UCB),3.4523831876451867
2023-06-07,Bandit Meta-Strategy (UCB),3.4521891840523646
2023-06-08,Bandit Meta-Strategy (UCB),3.4841006651669537
2023-06-09,Bandit Meta-Strategy (UCB),3.4913215144894134
2023-06-12,Bandit Meta-Strategy (UCB),3.5098558956051265
2023-06-13,Bandit Meta-Strategy (UCB),3.531391484504181
2023-06-14,Bandit Meta-Strategy (UCB),3.5355859173081576
2023-06-15,Bandit Meta-Strategy (UCB),3.5689304644114084
2023-06-16,Bandit Meta-Strategy (UCB),3.5633620879854484
2023-06-20,Bandit Meta-Strategy (UCB),3.552148373599991
2023-06-21,Bandit Meta-Strategy (UCB),3.535394828740313
2023-06-22,Bandit Meta-Strategy (UCB),3.5587733610444148
2023-06-23,Bandit Meta-Strategy (UCB),3.535475188031651
2023-06-26,Bandit Meta-Strategy (UCB),3.4988988156308802
2023-06-27,Bandit Meta-Strategy (UCB),3.518776989951784
2023-06-28,Bandit Meta-Strategy (UCB),3.525238330390347
2023-06-29,Bandit Meta-Strategy (UCB),3.5282136162637414
2023-06-30,Bandit Meta-Strategy (UCB),3.573868982782553
2023-07-03,Bandit Meta-Strategy (UCB),3.5899064385896793
2023-07-05,Bandit Meta-Strategy (UCB),3.5941385405167705
2023-07-06,Bandit Meta-Strategy (UCB),3.5449502773984607
