date,strategy,drawdown
2025-06-25,3. Quintile Momentum,0.0
2025-06-26,3. Quintile Momentum,0.0
2025-06-27,3. Quintile Momentum,0.0
2025-06-30,3. Quintile Momentum,0.0
2025-07-01,3. Quintile Momentum,0.0
2025-07-02,3. Quintile Momentum,0.0
2025-07-03,3. Quintile Momentum,0.0
2025-07-07,3. Quintile Momentum,0.0
2025-07-08,3. Quintile Momentum,0.0
2025-07-09,3. Quintile Momentum,0.0
2025-07-10,3. Quintile Momentum,0.0
2025-07-11,3. Quintile Momentum,0.0
2025-07-14,3. Quintile Momentum,0.0
2025-07-15,3. Quintile Momentum,0.0
2025-07-16,3. Quintile Momentum,0.0
2025-07-17,3. Quintile Momentum,0.0
2025-07-18,3. Quintile Momentum,0.0
2025-07-21,3. Quintile Momentum,0.0
2025-07-22,3. Quintile Momentum,0.0
2025-07-23,3. Quintile Momentum,0.0
2025-07-24,3. Quintile Momentum,0.0
2025-07-25,3. Quintile Momentum,0.0
2025-07-28,3. Quintile Momentum,0.0
2025-07-29,3. Quintile Momentum,0.0
2025-07-30,3. Quintile Momentum,0.0
2025-07-31,3. Quintile Momentum,0.0
2025-08-01,3. Quintile Momentum,0.0
2025-08-04,3. Quintile Momentum,0.0
2025-08-05,3. Quintile Momentum,0.0
2025-08-06,3. Quintile Momentum,0.0
2025-08-07,3. Quintile Momentum,0.0
2025-08-08,3. Quintile Momentum,0.0
2025-08-11,3. Quintile Momentum,0.0
2025-08-12,3. Quintile Momentum,0.0
2025-08-13,3. Quintile Momentum,0.0
2025-08-14,3. Quintile Momentum,0.0
2025-08-15,3. Quintile Momentum,0.0
2025-08-18,3. Quintile Momentum,0.0
2025-08-19,3. Quintile Momentum,0.0
2025-08-20,3. Quintile Momentum,0.0
2025-08-21,3. Quintile Momentum,0.0
2025-08-22,3. Quintile Momentum,0.0
2025-08-25,3. Quintile Momentum,0.0
2025-08-26,3. Quintile Momentum,0.0
2025-08-27,3. Quintile Momentum,0.0
2025-08-28,3. Quintile Momentum,0.0
2025-08-29,3. Quintile Momentum,-0.0010999999999999899
2025-09-02,3. Quintile Momentum,-0.010284622190305126
2025-09-03,3. Quintile Momentum,-0.002063952471111352
2025-09-04,3. Quintile Momentum,0.0
2025-09-05,3. Quintile Momentum,-0.0011411431832597102
2025-09-08,3. Quintile Momentum,0.0
2025-09-09,3. Quintile Momentum,0.0
2025-09-10,3. Quintile Momentum,-0.006549137493294367
2025-09-11,3. Quintile Momentum,0.0
2025-09-12,3. Quintile Momentum,-2.2509105912497476e-05
2025-09-15,3. Quintile Momentum,0.0
2025-09-16,3. Quintile Momentum,-0.004731121382976821
2025-09-17,3. Quintile Momentum,0.0
2025-09-18,3. Quintile Momentum,-0.01322034163935601
